"GEOID","NAME","variable","estimate","moe"
"21","Kentucky","B27010_033",105679,7222
"21","Kentucky","B27010_050",129677,6552
"21","Kentucky","B27010_066",2116,717
"22","Louisiana","B27010_001",4539690,2739
"22","Louisiana","B27010_017",50038,6767
"22","Louisiana","B27010_033",157298,8320
"22","Louisiana","B27010_050",191905,9280
"22","Louisiana","B27010_066",5012,1260
"23","Maine","B27010_001",1327623,956
"23","Maine","B27010_017",14663,2760
"23","Maine","B27010_033",34576,3629
"23","Maine","B27010_050",57018,3778
"23","Maine","B27010_066",280,164
"24","Maryland","B27010_001",5945846,2328
"24","Maryland","B27010_017",47782,6397
"24","Maryland","B27010_033",132274,8034
"24","Maryland","B27010_050",167591,8589
"24","Maryland","B27010_066",9184,1850
"25","Massachusetts","B27010_001",6820969,1160
"25","Massachusetts","B27010_017",22023,2813
"25","Massachusetts","B27010_033",87979,7296
"25","Massachusetts","B27010_050",89291,5496
"25","Massachusetts","B27010_066",4786,1279
"26","Michigan","B27010_001",9879486,1274
"26","Michigan","B27010_017",77964,6247
"26","Michigan","B27010_033",217897,8435
"26","Michigan","B27010_050",270112,9029
"26","Michigan","B27010_066",5167,1130
"27","Minnesota","B27010_001",5580828,759
"27","Minnesota","B27010_017",42387,5331
"27","Minnesota","B27010_033",101079,6614
"27","Minnesota","B27010_050",126488,6676
"27","Minnesota","B27010_066",2658,774
"28","Mississippi","B27010_001",2904609,2077
"28","Mississippi","B27010_017",45713,5180
"28","Mississippi","B27010_033",150891,7764
"28","Mississippi","B27010_050",178752,9237
"28","Mississippi","B27010_066",1516,583
"29","Missouri","B27010_001",6020665,2166
"29","Missouri","B27010_017",94686,7154
"29","Missouri","B27010_033",229706,10524
"29","Missouri","B27010_050",274108,10833
"29","Missouri","B27010_066",5202,1383
"30","Montana","B27010_001",1053646,851
"30","Montana","B27010_017",15034,2170
"30","Montana","B27010_033",26295,2966
"30","Montana","B27010_050",45310,3378
"30","Montana","B27010_066",502,237
"31","Nebraska","B27010_001",1904211,1300
"31","Nebraska","B27010_017",28394,4008
"31","Nebraska","B27010_033",58137,3654
"31","Nebraska","B27010_050",70924,4749
"31","Nebraska","B27010_066",468,278
"32","Nevada","B27010_001",3043419,1941
"32","Nevada","B27010_017",57986,6331
"32","Nevada","B27010_033",116385,6331
"32","Nevada","B27010_050",167008,7809
"32","Nevada","B27010_066",6252,1786
"33","New Hampshire","B27010_001",1343337,756
"33","New Hampshire","B27010_017",10176,2403
"33","New Hampshire","B27010_033",32456,3278
"33","New Hampshire","B27010_050",40922,4705
"33","New Hampshire","B27010_066",470,346
"34","New Jersey","B27010_001",8775976,1983
"34","New Jersey","B27010_017",88121,7658
"34","New Jersey","B27010_033",241627,10640
"34","New Jersey","B27010_050",347515,11844
"34","New Jersey","B27010_066",15078,2582
"35","New Mexico","B27010_001",2058918,1889
"35","New Mexico","B27010_017",28837,4372
"35","New Mexico","B27010_033",71068,6027
"35","New Mexico","B27010_050",101939,6882
"35","New Mexico","B27010_066",3312,1029
"36","New York","B27010_001",19212803,2719
"36","New York","B27010_017",100795,8269
"36","New York","B27010_033",386937,12662
"36","New York","B27010_050",493415,14638
"36","New York","B27010_066",25381,3054
"37","North Carolina","B27010_001",10281062,4093
"37","North Carolina","B27010_017",141528,9310
"37","North Carolina","B27010_033",421679,13632
"37","North Carolina","B27010_050",582049,14823
"37","North Carolina","B27010_066",12024,2461
"38","North Dakota","B27010_001",744172,1649
"38","North Dakota","B27010_017",14534,2840
"38","North Dakota","B27010_033",17408,2671
"38","North Dakota","B27010_050",18819,2244
"38","North Dakota","B27010_066",563,290
"39","Ohio","B27010_001",11514951,1996
"39","Ohio","B27010_017",131029,9237
"39","Ohio","B27010_033",275079,10750
"39","Ohio","B27010_050",342152,13466
"39","Ohio","B27010_066",9502,1837
"40","Oklahoma","B27010_001",3871658,2168
"40","Oklahoma","B27010_017",86279,5970
"40","Oklahoma","B27010_033",208176,6974
"40","Oklahoma","B27010_050",254060,7645
"40","Oklahoma","B27010_066",4320,971
"41","Oregon","B27010_001",4175002,1934
"41","Oregon","B27010_017",37515,5097
"41","Oregon","B27010_033",108993,6654
"41","Oregon","B27010_050",148091,8548
"41","Oregon","B27010_066",4821,1450
"42","Pennsylvania","B27010_001",12593136,2228
"42","Pennsylvania","B27010_017",127907,9488
"42","Pennsylvania","B27010_033",259418,11374
"42","Pennsylvania","B27010_050",328326,12265
"42","Pennsylvania","B27010_066",10797,1853
"44","Rhode Island","B27010_001",1043753,834
"44","Rhode Island","B27010_017",4181,1611
"44","Rhode Island","B27010_033",18962,3858
"44","Rhode Island","B27010_050",18712,3008
"44","Rhode Island","B27010_066",865,452
"45","South Carolina","B27010_001",5048513,3456
"45","South Carolina","B27010_017",68830,7261
"45","South Carolina","B27010_033",194560,9955
"45","South Carolina","B27010_050",279947,10900
"45","South Carolina","B27010_066",4329,1154
"46","South Dakota","B27010_001",867305,718
"46","South Dakota","B27010_017",17637,3254
"46","South Dakota","B27010_033",32525,2773
"46","South Dakota","B27010_050",37783,3314
"46","South Dakota","B27010_066",392,261
"47","Tennessee","B27010_001",6719315,2809
"47","Tennessee","B27010_017",80472,7233
"47","Tennessee","B27010_033",244055,11252
"47","Tennessee","B27010_050",351469,12037
"47","Tennessee","B27010_066",5651,1421
"48","Texas","B27010_001",28514428,5539
"48","Texas","B27010_017",995324,25176
"48","Texas","B27010_033",1882090,31169
"48","Texas","B27010_050",2291658,36000
"48","Texas","B27010_066",64888,6679
"49","Utah","B27010_001",3178394,1835
"49","Utah","B27010_017",81617,6730
"49","Utah","B27010_033",105173,6618
"49","Utah","B27010_050",116653,7742
"49","Utah","B27010_066",3413,1218
"50","Vermont","B27010_001",618064,329
"50","Vermont","B27010_017",2605,878
"50","Vermont","B27010_033",9738,1702
"50","Vermont","B27010_050",15215,1755
"50","Vermont","B27010_066",183,139
"51","Virginia","B27010_001",8303671,6301
"51","Virginia","B27010_017",96569,7150
"51","Virginia","B27010_033",234817,11285
"51","Virginia","B27010_050",314935,12547
"51","Virginia","B27010_066",11965,2150
"53","Washington","B27010_001",7497453,3993
"53","Washington","B27010_017",54145,5951
"53","Washington","B27010_033",197014,10874
"53","Washington","B27010_050",236205,9657
"53","Washington","B27010_066",8683,1731
"54","West Virginia","B27010_001",1762052,1241
"54","West Virginia","B27010_017",13425,2313
"54","West Virginia","B27010_033",40026,4140
"54","West Virginia","B27010_050",62590,4995
"54","West Virginia","B27010_066",1603,984
"55","Wisconsin","B27010_001",5751404,1109
"55","Wisconsin","B27010_017",50713,4179
"55","Wisconsin","B27010_033",122226,6542
"55","Wisconsin","B27010_050",152610,7416
"55","Wisconsin","B27010_066",3105,1046
"56","Wyoming","B27010_001",568859,919
"56","Wyoming","B27010_017",15245,2585
"56","Wyoming","B27010_033",24646,3848
"56","Wyoming","B27010_050",30052,3400
"56","Wyoming","B27010_066",110,78
"72","Puerto Rico","B27010_001",3169528,931
"72","Puerto Rico","B27010_017",23639,3337
"72","Puerto Rico","B27010_033",92698,5664
"72","Puerto Rico","B27010_050",122924,6921
"72","Puerto Rico","B27010_066",6804,1331
