"GEOID","NAME","variable","estimate","moe"
"01","Alabama","B27010_001",4822514,2254
"01","Alabama","B27010_017",40160,3774
"01","Alabama","B27010_033",190205,9163
"01","Alabama","B27010_050",234781,8548
"01","Alabama","B27010_066",3755,1250
"02","Alaska","B27010_001",705772,2037
"02","Alaska","B27010_017",17859,2452
"02","Alaska","B27010_033",33268,3196
"02","Alaska","B27010_050",34315,3100
"02","Alaska","B27010_066",745,506
"04","Arizona","B27010_001",7165904,2678
"04","Arizona","B27010_017",161330,10380
"04","Arizona","B27010_033",279378,11071
"04","Arizona","B27010_050",357710,12915
"04","Arizona","B27010_066",10225,2052
"05","Arkansas","B27010_001",2962596,1558
"05","Arkansas","B27010_017",43395,5199
"05","Arkansas","B27010_033",100328,7035
"05","Arkansas","B27010_050",124471,7053
"05","Arkansas","B27010_066",2776,919
"06","California","B27010_001",38997581,6171
"06","California","B27010_017",334034,14245
"06","California","B27010_033",1109974,21334
"06","California","B27010_050",1501851,26116
"06","California","B27010_066",56138,4481
"08","Colorado","B27010_001",5664199,2865
"08","Colorado","B27010_017",72556,7546
"08","Colorado","B27010_033",176110,8686
"08","Colorado","B27010_050",199842,8393
"08","Colorado","B27010_066",4967,1443
"09","Connecticut","B27010_001",3514562,1468
"09","Connecticut","B27010_017",26901,3572
"09","Connecticut","B27010_033",70550,5679
"09","Connecticut","B27010_050",105964,7419
"09","Connecticut","B27010_066",3769,977
"10","Delaware","B27010_001",956378,1518
"10","Delaware","B27010_017",10382,2920
"10","Delaware","B27010_033",24620,3339
"10","Delaware","B27010_050",27176,3660
"10","Delaware","B27010_066",592,352
"11","District of Columbia","B27010_001",696599,606
"11","District of Columbia","B27010_017",2824,1230
"11","District of Columbia","B27010_033",11647,2967
"11","District of Columbia","B27010_050",9353,2402
"11","District of Columbia","B27010_066",682,454
"12","Florida","B27010_001",21156770,4768
"12","Florida","B27010_017",342679,16175
"12","Florida","B27010_033",981358,22350
"12","Florida","B27010_050",1410325,26171
"12","Florida","B27010_066",49986,4915
"13","Georgia","B27010_001",10420412,3759
"13","Georgia","B27010_017",197136,14145
"13","Georgia","B27010_033",530463,15183
"13","Georgia","B27010_050",655793,18240
"13","Georgia","B27010_066",14431,2407
"15","Hawaii","B27010_001",1358715,2695
"15","Hawaii","B27010_017",8823,2229
"15","Hawaii","B27010_033",22080,3097
"15","Hawaii","B27010_050",24032,2782
"15","Hawaii","B27010_066",1544,641
"16","Idaho","B27010_001",1764911,1043
"16","Idaho","B27010_017",23569,3631
"16","Idaho","B27010_033",74803,5460
"16","Idaho","B27010_050",91648,6407
"16","Idaho","B27010_066",1175,505
"17","Illinois","B27010_001",12488377,2547
"17","Illinois","B27010_017",120039,8631
"17","Illinois","B27010_033",331870,11635
"17","Illinois","B27010_050",454691,14458
"17","Illinois","B27010_066",16691,2696
"18","Indiana","B27010_001",6631529,1184
"18","Indiana","B27010_017",118783,9328
"18","Indiana","B27010_033",203463,8019
"18","Indiana","B27010_050",251286,10230
"18","Indiana","B27010_066",4904,1402
"19","Iowa","B27010_001",3111914,664
"19","Iowa","B27010_017",22351,3616
"19","Iowa","B27010_033",59857,5211
"19","Iowa","B27010_050",71887,4945
"19","Iowa","B27010_066",1967,719
"20","Kansas","B27010_001",2851831,2523
"20","Kansas","B27010_017",43036,5054
"20","Kansas","B27010_033",95852,5353
"20","Kansas","B27010_050",120779,6192
"20","Kansas","B27010_066",2725,1035
"21","Kentucky","B27010_001",4384896,1584
"21","Kentucky","B27010_017",45091,4805
