"","GEOID","NAME","variable","estimate","moe"
"143","32","Nevada","B27010_033",123372,7342
"144","32","Nevada","B27010_050",168600,6423
"145","32","Nevada","B27010_066",6460,1445
"146","33","New Hampshire","B27010_001",1372918,1086
"147","33","New Hampshire","B27010_017",10819,2488
"148","33","New Hampshire","B27010_033",24955,2998
"149","33","New Hampshire","B27010_050",33557,4114
"150","33","New Hampshire","B27010_066",1180,790
"151","34","New Jersey","B27010_001",9163640,1719
"152","34","New Jersey","B27010_017",75765,8329
"153","34","New Jersey","B27010_033",220029,8607
"154","34","New Jersey","B27010_050",345856,11862
"155","34","New Jersey","B27010_066",15078,1938
"156","35","New Mexico","B27010_001",2077326,1985
"157","35","New Mexico","B27010_017",32108,6224
"158","35","New Mexico","B27010_033",71852,6784
"159","35","New Mexico","B27010_050",98902,7265
"160","35","New Mexico","B27010_066",4263,1173
"161","36","New York","B27010_001",19599048,2407
"162","36","New York","B27010_017",115381,9720
"163","36","New York","B27010_033",359220,12638
"164","36","New York","B27010_050",516274,14122
"165","36","New York","B27010_066",28412,3131
"166","37","North Carolina","B27010_001",10345935,4863
"167","37","North Carolina","B27010_017",134656,10230
"168","37","North Carolina","B27010_033",381737,10498
"169","37","North Carolina","B27010_050",549637,16270
"170","37","North Carolina","B27010_066",12079,1981
"171","38","North Dakota","B27010_001",756440,1680
"172","38","North Dakota","B27010_017",14287,2816
"173","38","North Dakota","B27010_033",20922,3025
"174","38","North Dakota","B27010_050",23614,2533
"175","38","North Dakota","B27010_066",574,461
"176","39","Ohio","B27010_001",11611229,2645
"177","39","Ohio","B27010_017",139549,9586
"178","39","Ohio","B27010_033",272176,11679
"179","39","Ohio","B27010_050",336323,12311
"180","39","Ohio","B27010_066",9661,1686
"181","40","Oklahoma","B27010_001",3905272,2632
"182","40","Oklahoma","B27010_017",75296,5262
"183","40","Oklahoma","B27010_033",207333,6850
"184","40","Oklahoma","B27010_050",250480,7515
"185","40","Oklahoma","B27010_066",4716,937
"186","41","Oregon","B27010_001",4206414,1183
"187","41","Oregon","B27010_017",31363,4327
"188","41","Oregon","B27010_033",92704,7158
"189","41","Oregon","B27010_050",126413,6847
"190","41","Oregon","B27010_066",4958,1546
"191","42","Pennsylvania","B27010_001",12767386,1314
"192","42","Pennsylvania","B27010_017",126167,9932
"193","42","Pennsylvania","B27010_033",252559,11432
"194","42","Pennsylvania","B27010_050",310347,12261
"195","42","Pennsylvania","B27010_066",12468,2022
"196","44","Rhode Island","B27010_001",1080438,788
"197","44","Rhode Island","B27010_017",5697,2175
"198","44","Rhode Island","B27010_033",17147,2683
"199","44","Rhode Island","B27010_050",22516,3888
"200","44","Rhode Island","B27010_066",1585,793
"201","45","South Carolina","B27010_001",5099812,2980
"202","45","South Carolina","B27010_017",63186,6526
"203","45","South Carolina","B27010_033",187066,8979
"204","45","South Carolina","B27010_050",256445,10996
"205","45","South Carolina","B27010_066",5238,1451
"206","46","South Dakota","B27010_001",877855,966
"207","46","South Dakota","B27010_017",17537,3178
"208","46","South Dakota","B27010_033",31337,3610
"209","46","South Dakota","B27010_050",34200,3020
"210","46","South Dakota","B27010_066",246,116
"211","47","Tennessee","B27010_001",6872677,2914
"212","47","Tennessee","B27010_017",80126,6695
"213","47","Tennessee","B27010_033",247770,9370
"214","47","Tennessee","B27010_050",351016,11892
"215","47","Tennessee","B27010_066",7192,1638
"216","48","Texas","B27010_001",29066872,6662
"217","48","Texas","B27010_017",929980,28707
"218","48","Texas","B27010_033",1883281,32110
"219","48","Texas","B27010_050",2340066,33098
"220","48","Texas","B27010_066",70717,5729
"221","49","Utah","B27010_001",3309594,1896
"222","49","Utah","B27010_017",79037,8646
"223","49","Utah","B27010_033",101322,6236
"224","49","Utah","B27010_050",116038,6592
"225","49","Utah","B27010_066",2391,691
"226","50","Vermont","B27010_001",639228,639
"227","50","Vermont","B27010_017",2375,878
"228","50","Vermont","B27010_033",8582,1850
"229","50","Vermont","B27010_050",12206,1851
"230","50","Vermont","B27010_066",212,209
"231","51","Virginia","B27010_001",8412758,6111
"232","51","Virginia","B27010_017",88178,6268
"233","51","Virginia","B27010_033",201528,9597
"234","51","Virginia","B27010_050",272213,10883
"235","51","Virginia","B27010_066",12259,2173
"236","53","Washington","B27010_001",7618375,4390
"237","53","Washington","B27010_017",54619,5774
"238","53","Washington","B27010_033",185374,9629
"239","53","Washington","B27010_050",238152,9870
"240","53","Washington","B27010_066",9908,1770
"241","54","West Virginia","B27010_001",1755887,833
"242","54","West Virginia","B27010_017",12616,2433
"243","54","West Virginia","B27010_033",40195,3562
"244","54","West Virginia","B27010_050",52851,5087
"245","54","West Virginia","B27010_066",1155,639
"246","55","Wisconsin","B27010_001",5828354,892
"247","55","Wisconsin","B27010_017",54424,4906
"248","55","Wisconsin","B27010_033",114913,5988
"249","55","Wisconsin","B27010_050",139026,5524
"250","55","Wisconsin","B27010_066",3808,963
"251","56","Wyoming","B27010_001",570046,829
"252","56","Wyoming","B27010_017",15903,3114
"253","56","Wyoming","B27010_033",22645,2784
"254","56","Wyoming","B27010_050",30571,3012
"255","56","Wyoming","B27010_066",189,166
"256","72","Puerto Rico","B27010_001",3237924,1448
"257","72","Puerto Rico","B27010_017",15803,3401
"258","72","Puerto Rico","B27010_033",63119,5348
"259","72","Puerto Rico","B27010_050",98231,6100
"260","72","Puerto Rico","B27010_066",8008,2234
