"","GEOID","NAME","variable","estimate","moe"
"224","49","Utah","B27010_050",116653,7742
"225","49","Utah","B27010_066",3413,1218
"226","50","Vermont","B27010_001",618064,329
"227","50","Vermont","B27010_017",2605,878
"228","50","Vermont","B27010_033",9738,1702
"229","50","Vermont","B27010_050",15215,1755
"230","50","Vermont","B27010_066",183,139
"231","51","Virginia","B27010_001",8303671,6301
"232","51","Virginia","B27010_017",96569,7150
"233","51","Virginia","B27010_033",234817,11285
"234","51","Virginia","B27010_050",314935,12547
"235","51","Virginia","B27010_066",11965,2150
"236","53","Washington","B27010_001",7497453,3993
"237","53","Washington","B27010_017",54145,5951
"238","53","Washington","B27010_033",197014,10874
"239","53","Washington","B27010_050",236205,9657
"240","53","Washington","B27010_066",8683,1731
"241","54","West Virginia","B27010_001",1762052,1241
"242","54","West Virginia","B27010_017",13425,2313
"243","54","West Virginia","B27010_033",40026,4140
"244","54","West Virginia","B27010_050",62590,4995
"245","54","West Virginia","B27010_066",1603,984
"246","55","Wisconsin","B27010_001",5751404,1109
"247","55","Wisconsin","B27010_017",50713,4179
"248","55","Wisconsin","B27010_033",122226,6542
"249","55","Wisconsin","B27010_050",152610,7416
"250","55","Wisconsin","B27010_066",3105,1046
"251","56","Wyoming","B27010_001",568859,919
"252","56","Wyoming","B27010_017",15245,2585
"253","56","Wyoming","B27010_033",24646,3848
"254","56","Wyoming","B27010_050",30052,3400
"255","56","Wyoming","B27010_066",110,78
"256","72","Puerto Rico","B27010_001",3169528,931
"257","72","Puerto Rico","B27010_017",23639,3337
"258","72","Puerto Rico","B27010_033",92698,5664
"259","72","Puerto Rico","B27010_050",122924,6921
"260","72","Puerto Rico","B27010_066",6804,1331
