"","GEOID","NAME","variable","estimate","moe"
"1","01","Alabama","B27010_001",4822514,2254
"2","01","Alabama","B27010_017",40160,3774
"3","01","Alabama","B27010_033",190205,9163
"4","01","Alabama","B27010_050",234781,8548
"5","01","Alabama","B27010_066",3755,1250
"6","02","Alaska","B27010_001",705772,2037
"7","02","Alaska","B27010_017",17859,2452
"8","02","Alaska","B27010_033",33268,3196
"9","02","Alaska","B27010_050",34315,3100
"10","02","Alaska","B27010_066",745,506
"11","04","Arizona","B27010_001",7165904,2678
"12","04","Arizona","B27010_017",161330,10380
"13","04","Arizona","B27010_033",279378,11071
"14","04","Arizona","B27010_050",357710,12915
"15","04","Arizona","B27010_066",10225,2052
"16","05","Arkansas","B27010_001",2962596,1558
"17","05","Arkansas","B27010_017",43395,5199
"18","05","Arkansas","B27010_033",100328,7035
"19","05","Arkansas","B27010_050",124471,7053
"20","05","Arkansas","B27010_066",2776,919
"21","06","California","B27010_001",38997581,6171
"22","06","California","B27010_017",334034,14245
"23","06","California","B27010_033",1109974,21334
"24","06","California","B27010_050",1501851,26116
"25","06","California","B27010_066",56138,4481
"26","08","Colorado","B27010_001",5664199,2865
"27","08","Colorado","B27010_017",72556,7546
"28","08","Colorado","B27010_033",176110,8686
"29","08","Colorado","B27010_050",199842,8393
"30","08","Colorado","B27010_066",4967,1443
"31","09","Connecticut","B27010_001",3514562,1468
"32","09","Connecticut","B27010_017",26901,3572
"33","09","Connecticut","B27010_033",70550,5679
"34","09","Connecticut","B27010_050",105964,7419
"35","09","Connecticut","B27010_066",3769,977
"36","10","Delaware","B27010_001",956378,1518
"37","10","Delaware","B27010_017",10382,2920
"38","10","Delaware","B27010_033",24620,3339
"39","10","Delaware","B27010_050",27176,3660
"40","10","Delaware","B27010_066",592,352
"41","11","District of Columbia","B27010_001",696599,606
"42","11","District of Columbia","B27010_017",2824,1230
"43","11","District of Columbia","B27010_033",11647,2967
"44","11","District of Columbia","B27010_050",9353,2402
"45","11","District of Columbia","B27010_066",682,454
"46","12","Florida","B27010_001",21156770,4768
"47","12","Florida","B27010_017",342679,16175
"48","12","Florida","B27010_033",981358,22350
"49","12","Florida","B27010_050",1410325,26171
"50","12","Florida","B27010_066",49986,4915
"51","13","Georgia","B27010_001",10420412,3759
"52","13","Georgia","B27010_017",197136,14145
"53","13","Georgia","B27010_033",530463,15183
"54","13","Georgia","B27010_050",655793,18240
"55","13","Georgia","B27010_066",14431,2407
"56","15","Hawaii","B27010_001",1358715,2695
"57","15","Hawaii","B27010_017",8823,2229
"58","15","Hawaii","B27010_033",22080,3097
"59","15","Hawaii","B27010_050",24032,2782
"60","15","Hawaii","B27010_066",1544,641
"61","16","Idaho","B27010_001",1764911,1043
"62","16","Idaho","B27010_017",23569,3631
"63","16","Idaho","B27010_033",74803,5460
"64","16","Idaho","B27010_050",91648,6407
"65","16","Idaho","B27010_066",1175,505
"66","17","Illinois","B27010_001",12488377,2547
"67","17","Illinois","B27010_017",120039,8631
"68","17","Illinois","B27010_033",331870,11635
"69","17","Illinois","B27010_050",454691,14458
"70","17","Illinois","B27010_066",16691,2696
"71","18","Indiana","B27010_001",6631529,1184
"72","18","Indiana","B27010_017",118783,9328
"73","18","Indiana","B27010_033",203463,8019
"74","18","Indiana","B27010_050",251286,10230
"75","18","Indiana","B27010_066",4904,1402
"76","19","Iowa","B27010_001",3111914,664
"77","19","Iowa","B27010_017",22351,3616
"78","19","Iowa","B27010_033",59857,5211
"79","19","Iowa","B27010_050",71887,4945
"80","19","Iowa","B27010_066",1967,719
"81","20","Kansas","B27010_001",2851831,2523
"82","20","Kansas","B27010_017",43036,5054
"83","20","Kansas","B27010_033",95852,5353
"84","20","Kansas","B27010_050",120779,6192
"85","20","Kansas","B27010_066",2725,1035
"86","21","Kentucky","B27010_001",4384896,1584
"87","21","Kentucky","B27010_017",45091,4805
"88","21","Kentucky","B27010_033",105679,7222
"89","21","Kentucky","B27010_050",129677,6552
"90","21","Kentucky","B27010_066",2116,717
"91","22","Louisiana","B27010_001",4539690,2739
"92","22","Louisiana","B27010_017",50038,6767
"93","22","Louisiana","B27010_033",157298,8320
"94","22","Louisiana","B27010_050",191905,9280
"95","22","Louisiana","B27010_066",5012,1260
"96","23","Maine","B27010_001",1327623,956
"97","23","Maine","B27010_017",14663,2760
"98","23","Maine","B27010_033",34576,3629
"99","23","Maine","B27010_050",57018,3778
"100","23","Maine","B27010_066",280,164
"101","24","Maryland","B27010_001",5945846,2328
"102","24","Maryland","B27010_017",47782,6397
"103","24","Maryland","B27010_033",132274,8034
"104","24","Maryland","B27010_050",167591,8589
"105","24","Maryland","B27010_066",9184,1850
"106","25","Massachusetts","B27010_001",6820969,1160
"107","25","Massachusetts","B27010_017",22023,2813
"108","25","Massachusetts","B27010_033",87979,7296
"109","25","Massachusetts","B27010_050",89291,5496
"110","25","Massachusetts","B27010_066",4786,1279
"111","26","Michigan","B27010_001",9879486,1274
"112","26","Michigan","B27010_017",77964,6247
"113","26","Michigan","B27010_033",217897,8435
"114","26","Michigan","B27010_050",270112,9029
"115","26","Michigan","B27010_066",5167,1130
"116","27","Minnesota","B27010_001",5580828,759
"117","27","Minnesota","B27010_017",42387,5331
"118","27","Minnesota","B27010_033",101079,6614
"119","27","Minnesota","B27010_050",126488,6676
"120","27","Minnesota","B27010_066",2658,774
"121","28","Mississippi","B27010_001",2904609,2077
"122","28","Mississippi","B27010_017",45713,5180
"123","28","Mississippi","B27010_033",150891,7764
"124","28","Mississippi","B27010_050",178752,9237
"125","28","Mississippi","B27010_066",1516,583
"126","29","Missouri","B27010_001",6020665,2166
"127","29","Missouri","B27010_017",94686,7154
"128","29","Missouri","B27010_033",229706,10524
"129","29","Missouri","B27010_050",274108,10833
"130","29","Missouri","B27010_066",5202,1383
"131","30","Montana","B27010_001",1053646,851
"132","30","Montana","B27010_017",15034,2170
"133","30","Montana","B27010_033",26295,2966
"134","30","Montana","B27010_050",45310,3378
"135","30","Montana","B27010_066",502,237
"136","31","Nebraska","B27010_001",1904211,1300
"137","31","Nebraska","B27010_017",28394,4008
"138","31","Nebraska","B27010_033",58137,3654
"139","31","Nebraska","B27010_050",70924,4749
"140","31","Nebraska","B27010_066",468,278
"141","32","Nevada","B27010_001",3043419,1941
"142","32","Nevada","B27010_017",57986,6331
"143","32","Nevada","B27010_033",116385,6331
"144","32","Nevada","B27010_050",167008,7809
"145","32","Nevada","B27010_066",6252,1786
"146","33","New Hampshire","B27010_001",1343337,756
"147","33","New Hampshire","B27010_017",10176,2403
"148","33","New Hampshire","B27010_033",32456,3278
"149","33","New Hampshire","B27010_050",40922,4705
"150","33","New Hampshire","B27010_066",470,346
"151","34","New Jersey","B27010_001",8775976,1983
"152","34","New Jersey","B27010_017",88121,7658
"153","34","New Jersey","B27010_033",241627,10640
"154","34","New Jersey","B27010_050",347515,11844
"155","34","New Jersey","B27010_066",15078,2582
"156","35","New Mexico","B27010_001",2058918,1889
"157","35","New Mexico","B27010_017",28837,4372
"158","35","New Mexico","B27010_033",71068,6027
"159","35","New Mexico","B27010_050",101939,6882
"160","35","New Mexico","B27010_066",3312,1029
"161","36","New York","B27010_001",19212803,2719
"162","36","New York","B27010_017",100795,8269
"163","36","New York","B27010_033",386937,12662
"164","36","New York","B27010_050",493415,14638
"165","36","New York","B27010_066",25381,3054
"166","37","North Carolina","B27010_001",10281062,4093
"167","37","North Carolina","B27010_017",141528,9310
"168","37","North Carolina","B27010_033",421679,13632
"169","37","North Carolina","B27010_050",582049,14823
"170","37","North Carolina","B27010_066",12024,2461
"171","38","North Dakota","B27010_001",744172,1649
"172","38","North Dakota","B27010_017",14534,2840
"173","38","North Dakota","B27010_033",17408,2671
"174","38","North Dakota","B27010_050",18819,2244
"175","38","North Dakota","B27010_066",563,290
"176","39","Ohio","B27010_001",11514951,1996
"177","39","Ohio","B27010_017",131029,9237
"178","39","Ohio","B27010_033",275079,10750
"179","39","Ohio","B27010_050",342152,13466
"180","39","Ohio","B27010_066",9502,1837
"181","40","Oklahoma","B27010_001",3871658,2168
"182","40","Oklahoma","B27010_017",86279,5970
"183","40","Oklahoma","B27010_033",208176,6974
"184","40","Oklahoma","B27010_050",254060,7645
"185","40","Oklahoma","B27010_066",4320,971
"186","41","Oregon","B27010_001",4175002,1934
"187","41","Oregon","B27010_017",37515,5097
"188","41","Oregon","B27010_033",108993,6654
"189","41","Oregon","B27010_050",148091,8548
"190","41","Oregon","B27010_066",4821,1450
"191","42","Pennsylvania","B27010_001",12593136,2228
"192","42","Pennsylvania","B27010_017",127907,9488
"193","42","Pennsylvania","B27010_033",259418,11374
"194","42","Pennsylvania","B27010_050",328326,12265
"195","42","Pennsylvania","B27010_066",10797,1853
"196","44","Rhode Island","B27010_001",1043753,834
"197","44","Rhode Island","B27010_017",4181,1611
"198","44","Rhode Island","B27010_033",18962,3858
"199","44","Rhode Island","B27010_050",18712,3008
"200","44","Rhode Island","B27010_066",865,452
"201","45","South Carolina","B27010_001",5048513,3456
"202","45","South Carolina","B27010_017",68830,7261
"203","45","South Carolina","B27010_033",194560,9955
"204","45","South Carolina","B27010_050",279947,10900
"205","45","South Carolina","B27010_066",4329,1154
"206","46","South Dakota","B27010_001",867305,718
"207","46","South Dakota","B27010_017",17637,3254
"208","46","South Dakota","B27010_033",32525,2773
"209","46","South Dakota","B27010_050",37783,3314
"210","46","South Dakota","B27010_066",392,261
"211","47","Tennessee","B27010_001",6719315,2809
"212","47","Tennessee","B27010_017",80472,7233
"213","47","Tennessee","B27010_033",244055,11252
"214","47","Tennessee","B27010_050",351469,12037
"215","47","Tennessee","B27010_066",5651,1421
"216","48","Texas","B27010_001",28514428,5539
"217","48","Texas","B27010_017",995324,25176
"218","48","Texas","B27010_033",1882090,31169
"219","48","Texas","B27010_050",2291658,36000
"220","48","Texas","B27010_066",64888,6679
"221","49","Utah","B27010_001",3178394,1835
"222","49","Utah","B27010_017",81617,6730
"223","49","Utah","B27010_033",105173,6618
