"GEOID","NAME","variable","estimate","moe"
"35","New Mexico","B27010_001",2077326,1985
"35","New Mexico","B27010_017",32108,6224
"35","New Mexico","B27010_033",71852,6784
"35","New Mexico","B27010_050",98902,7265
"35","New Mexico","B27010_066",4263,1173
"36","New York","B27010_001",19599048,2407
"36","New York","B27010_017",115381,9720
"36","New York","B27010_033",359220,12638
"36","New York","B27010_050",516274,14122
"36","New York","B27010_066",28412,3131
"37","North Carolina","B27010_001",10345935,4863
"37","North Carolina","B27010_017",134656,10230
"37","North Carolina","B27010_033",381737,10498
"37","North Carolina","B27010_050",549637,16270
"37","North Carolina","B27010_066",12079,1981
"38","North Dakota","B27010_001",756440,1680
"38","North Dakota","B27010_017",14287,2816
"38","North Dakota","B27010_033",20922,3025
"38","North Dakota","B27010_050",23614,2533
"38","North Dakota","B27010_066",574,461
"39","Ohio","B27010_001",11611229,2645
"39","Ohio","B27010_017",139549,9586
"39","Ohio","B27010_033",272176,11679
"39","Ohio","B27010_050",336323,12311
"39","Ohio","B27010_066",9661,1686
"40","Oklahoma","B27010_001",3905272,2632
"40","Oklahoma","B27010_017",75296,5262
"40","Oklahoma","B27010_033",207333,6850
"40","Oklahoma","B27010_050",250480,7515
"40","Oklahoma","B27010_066",4716,937
"41","Oregon","B27010_001",4206414,1183
"41","Oregon","B27010_017",31363,4327
"41","Oregon","B27010_033",92704,7158
"41","Oregon","B27010_050",126413,6847
"41","Oregon","B27010_066",4958,1546
"42","Pennsylvania","B27010_001",12767386,1314
"42","Pennsylvania","B27010_017",126167,9932
"42","Pennsylvania","B27010_033",252559,11432
"42","Pennsylvania","B27010_050",310347,12261
"42","Pennsylvania","B27010_066",12468,2022
"44","Rhode Island","B27010_001",1080438,788
"44","Rhode Island","B27010_017",5697,2175
"44","Rhode Island","B27010_033",17147,2683
"44","Rhode Island","B27010_050",22516,3888
"44","Rhode Island","B27010_066",1585,793
"45","South Carolina","B27010_001",5099812,2980
"45","South Carolina","B27010_017",63186,6526
"45","South Carolina","B27010_033",187066,8979
"45","South Carolina","B27010_050",256445,10996
"45","South Carolina","B27010_066",5238,1451
"46","South Dakota","B27010_001",877855,966
"46","South Dakota","B27010_017",17537,3178
"46","South Dakota","B27010_033",31337,3610
"46","South Dakota","B27010_050",34200,3020
"46","South Dakota","B27010_066",246,116
"47","Tennessee","B27010_001",6872677,2914
"47","Tennessee","B27010_017",80126,6695
"47","Tennessee","B27010_033",247770,9370
"47","Tennessee","B27010_050",351016,11892
"47","Tennessee","B27010_066",7192,1638
"48","Texas","B27010_001",29066872,6662
"48","Texas","B27010_017",929980,28707
"48","Texas","B27010_033",1883281,32110
"48","Texas","B27010_050",2340066,33098
"48","Texas","B27010_066",70717,5729
"49","Utah","B27010_001",3309594,1896
"49","Utah","B27010_017",79037,8646
"49","Utah","B27010_033",101322,6236
"49","Utah","B27010_050",116038,6592
"49","Utah","B27010_066",2391,691
"50","Vermont","B27010_001",639228,639
"50","Vermont","B27010_017",2375,878
"50","Vermont","B27010_033",8582,1850
"50","Vermont","B27010_050",12206,1851
"50","Vermont","B27010_066",212,209
"51","Virginia","B27010_001",8412758,6111
"51","Virginia","B27010_017",88178,6268
"51","Virginia","B27010_033",201528,9597
"51","Virginia","B27010_050",272213,10883
"51","Virginia","B27010_066",12259,2173
"53","Washington","B27010_001",7618375,4390
"53","Washington","B27010_017",54619,5774
"53","Washington","B27010_033",185374,9629
"53","Washington","B27010_050",238152,9870
"53","Washington","B27010_066",9908,1770
"54","West Virginia","B27010_001",1755887,833
"54","West Virginia","B27010_017",12616,2433
"54","West Virginia","B27010_033",40195,3562
"54","West Virginia","B27010_050",52851,5087
"54","West Virginia","B27010_066",1155,639
"55","Wisconsin","B27010_001",5828354,892
"55","Wisconsin","B27010_017",54424,4906
"55","Wisconsin","B27010_033",114913,5988
"55","Wisconsin","B27010_050",139026,5524
"55","Wisconsin","B27010_066",3808,963
"56","Wyoming","B27010_001",570046,829
"56","Wyoming","B27010_017",15903,3114
"56","Wyoming","B27010_033",22645,2784
"56","Wyoming","B27010_050",30571,3012
"56","Wyoming","B27010_066",189,166
"72","Puerto Rico","B27010_001",3237924,1448
"72","Puerto Rico","B27010_017",15803,3401
"72","Puerto Rico","B27010_033",63119,5348
"72","Puerto Rico","B27010_050",98231,6100
"72","Puerto Rico","B27010_066",8008,2234
